#,First Name,Lastname,Student ID Number,Faculty,Department,Degree,Transcript Grade(4/4),Transcript Grade(100/100),Transcript Grade Contribution,Total Points,Transcript Notu (4/4),Transcript Notu (100/100),Erasmus application CGPA with grades behind SE/UE,UE SE Sayı,UECGPA,ENG 101,ENG 102,Language Points,Transcript Points,Total Points,Duration Preferred,Preferred University #1,Preferred University #2,Preferred University #3,Preferred University #4,Preferred University #5,,,
,Matt,Miller,22000010,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.55,89.500,35.000,82.000,3.55,89.500,3.55,,3.55,A-,A,47, 35.00 ,82.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,AGH University of Science and Technology,,,,,
,Sam,Johnson,22000011,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.55,89.500,35.000,82.000,3.55,89.500,3.55,,3.55,A,A-,47, 35.00 ,82.000,Bahar Dönemi,Technical University of Berlin,École Polytechnique Fédérale (EPF),Saarland Üniversitesi,TU Universitaet Dortmund,Roskilde Universitesi,,,
,George,Williams,22000012,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.45,87.160,31.667,81.667,3.45,87.160,3.45,,3.45,A,A,50, 31.67 ,81.667,Bahar Dönemi,École Polytechnique Fédérale (EPF),ESIEE Paris,Technical University of Berlin,,,,,
,George,Smith,22000013,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.52,88.800,34.000,78.000,3.52,88.800,3.52,, 3.52 ,A-,A-,44, 34.00 ,78.000,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Kingston University,AGH University of Science and Technology,,,,
,Sam,Johnson,22000014,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.68,92.530,39.333,77.333,3.68,92.530,3.68,, 3.68 ,B+,B+,38, 39.33 ,77.333,Güz Dönemi,Saarland Üniversitesi,Vrije Üniversitesi,AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,Kingston University,,,
,Jennifer,Brown,22000015,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.59,90.430,36.333,77.333,3.69,92.760,3.59,1, 3.59 ,B+,A-,41, 36.33 ,77.333,Bahar Dönemi,Technical University of Berlin,Vrije Üniversitesi,TU Universitaet Dortmund,Saarland Üniversitesi,École Polytechnique Fédérale (EPF),,,
,Matt,Jones,22000016,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.31,83.900,27.000,74.000,3.31,83.900,3.31,,3.31,A-,A,47, 27.00 ,74.000,Güz Dönemi,Universita degli Studi di L&#039;Aquila,Kingston University,Saarland Üniversitesi,AGH University of Science and Technology,Roskilde Universitesi,,,
,Sam,Rodriguez,22000017,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.22,81.800,24.000,74.000,3.22,81.800,3.22,,3.22,A,A,50, 24.00 ,74.000,Bahar Dönemi,Roskilde Universitesi,Vrije Üniversitesi,Ecole Pour Linformatique Et Les Techniques Avancees (EPITA),AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,,,
,Sam,Davis,22000018,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.38,85.530,29.333,73.333,3.42,86.460,3.38,1, 3.38 ,B+,A,44, 29.33 ,73.333,Bahar Dönemi,Technical University of Berlin,École Polytechnique Fédérale (EPF),AGH University of Science and Technology,Roskilde Universitesi,Vrije Üniversitesi,,,
,George,Johnson,22000019,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.37,85.300,29.000,73.000,3.40,86.000,3.37,2, 3.37 ,B+,A,44, 29.00 ,73.000,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Technical University of Berlin,Saarland Üniversitesi,Kingston University,,,
,Jennifer,Johnson,22000020,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.19,81.100,23.000,73.000,3.19,81.100,3.19,,3.19,A,A,50, 23.00 ,73.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Roskilde Universitesi,AGH University of Science and Technology,,,,
,Sam,Smith,22000021,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.47,87.630,32.333,72.333,3.47,87.630,3.47,,3.47,B,A,40, 32.33 ,72.333,Bahar Dönemi,Vrije Üniversitesi,AGH University of Science and Technology,Saarland Üniversitesi,Roskilde Universitesi,,,,
,Matt,Miller,22000022,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.26,82.730,25.333,72.333,3.26,82.730,3.26,, 3.26 ,A-,A,47, 25.33 ,72.333,1 Akademik Yıl,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Kingston University,Saarland Üniversitesi,Technical University of Berlin,,,
,George,Jones,22000023,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.14,79.930,21.333,71.333,3.14,79.930,3.14,,3.14,A,A,50, 21.33 ,71.333,Bahar Dönemi,Vrije Üniversitesi,École Polytechnique Fédérale (EPF),Roskilde Universitesi,Saarland Üniversitesi,Universita degli Studi di L&#039;Aquila,,,
,Jennifer,Miller,22000024,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.40,86.000,30.000,71.000,3.40,86.000,3.4,,3.4,B+,A-,41, 30.00 ,71.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Technical University of Berlin,TU Universitaet Dortmund,Saarland Üniversitesi,Vrije Üniversitesi,,,
,Matt,Williams,22000025,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.37,85.300,29.000,70.000,3.37,85.300,3.37,, 3.37 ,B+,A-,41, 29.00 ,70.000,Bahar Dönemi,Vrije Üniversitesi,Technical University of Berlin,Kingston University,Saarland Üniversitesi,AGH University of Science and Technology,,ESIEE,
,George,Johnson,22000026,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.26,82.730,25.333,69.333,3.26,82.730,3.26,,3.26,A-,A-,44, 25.33 ,69.333,Güz Dönemi,École Polytechnique Fédérale (EPF),0,Vrije Üniversitesi,Saarland Üniversitesi,Kingston University,,,
,Jennifer,Johnson,22000027,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.12,79.460,20.667,67.667,3.12,79.460,3.12,,3.12,A-,A,47, 20.67 ,67.667,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Technical University of Berlin,Saarland Üniversitesi,AGH University of Science and Technology,,,
,George,Williams,22000028,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.07,78.300,19.000,66.000,3.07,78.300,3.07,,3.07,A-,A,47, 18.10 ,66.000,Güz Dönemi,Kingston University,Universita degli Studi di L&#039;Aquila,Roskilde Universitesi,Vrije Üniversitesi,Saarland Üniversitesi,,ESIEE,BA
,Sam,Garcia,22000029,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.93,75.030,14.333,64.333,2.98,76.200,2.93,3, 2.93 ,A,A,50, 14.33 ,64.333,Bahar Dönemi,AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,Vrije Üniversitesi,Roskilde Universitesi,,,,
,George,Jones,22000030,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.19,81.100,23.000,64.000,3.19,81.100,3.19,,3.19,B+,A-,41, 23.00 ,64.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,,,,,,
,George,Davis,22000031,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.10,79.000,20.000,64.000,3.15,80.160,3.1,2, 3.10 ,A-,A-,44, 20.00 ,64.000,Bahar Dönemi,AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,Vrije Üniversitesi,,,,,
,George,Davis,22000032,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.05,77.830,18.333,62.333,3.05,77.830,3.05,, 3.05 ,B+,A,44, 18.33 ,62.333,Bahar Dönemi,École Polytechnique Fédérale (EPF),TU Universitaet Dortmund,Vrije Üniversitesi,Kingston University,Roskilde Universitesi,,,
,Matt,Miller,22000033,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,3.02,77.130,17.333,57.333,3.02,77.130,3.02,, 3.02 ,B,A,40, 17.33 ,57.333,Bahar Dönemi,Roskilde Universitesi,AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,Saarland Üniversitesi,ESIEE Paris,,,
,Ann,Garcia,22000034,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.79,71.760,9.667,53.667,2.79,71.760,2.79,1, 2.79 ,B+,A,44, 9.67 ,53.667,Güz Dönemi,Vrije Üniversitesi,Roskilde Universitesi,Technical University of Berlin,Universita degli Studi di L&#039;Aquila,AGH University of Science and Technology,,,
,George,Williams,22000035,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.89,74.100,13.000,51.000,2.92,74.800,2.89,1, 2.89 ,B+,B+,38, 13.00 ,51.000,Güz Dönemi,AGH University of Science and Technology,Universita degli Studi di L&#039;Aquila,Saarland Üniversitesi,Vrije Üniversitesi,,,,
,Ann,Rodriguez,22000036,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.76,71.060,8.667,49.667,2.76,71.060,2.76,2, 2.76 ,B+,A-,41, 8.67 ,49.667,Güz Dönemi,Universita degli Studi di L&#039;Aquila,AGH University of Science and Technology,Vrije Üniversitesi,Saarland Üniversitesi,Roskilde Universitesi,,ESIEE,
,Matt,Miller,22000037,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.64,68.260,4.666,48.666,2.67,68.960,2.64,1, 2.64 ,A,B+,44, 4.67 ,48.667,Bahar Dönemi,Vrije Üniversitesi,Roskilde Universitesi,Kingston University,Universita degli Studi di L&#039;Aquila,École Polytechnique Fédérale (EPF),,ESIEE,EPITA
,Matt,Johnson,22000038,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.63,68.030,4.333,48.333,2.63,68.030,2.63,,2.63,B+,A,44, 4.33 ,48.333,1 Akademik Yıl,AGH University of Science and Technology,Roskilde Universitesi,Vrije Üniversitesi,Universita degli Studi di L&#039;Aquila,Saarland Üniversitesi,,,
,Ann,Davis,22000039,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.99,76.430,16.333,46.333,2.99,76.430,2.99,, 2.99 ,B+,B-,30, 16.33 ,46.333,Güz Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Roskilde Universitesi,Technical University of Berlin,AGH University of Science and Technology,,,
,Jennifer,Johnson,22000040,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.80,72.000,10.000,46.000,2.80,72.000,2.8,1, 2.80 ,B-,A,36, 9.10 ,46.000,Bahar Dönemi,Vrije Üniversitesi,Saarland Üniversitesi,Universita degli Studi di L&#039;Aquila,Roskilde Universitesi,AGH University of Science and Technology,,,
,Matt,Rodriguez,22000041,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.85,73.160,11.667,45.667,2.85,73.160,2.85,, 2.85 ,B,B+,34, 11.67 ,45.667,1 Akademik Yıl,Roskilde Universitesi,Vrije Üniversitesi,École Polytechnique Fédérale (EPF),Kingston University,Saarland Üniversitesi,,,
,Sam,Garcia,22000042,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.80,72.000,10.000,44.000,2.80,72.000,2.8,1, 2.80 ,B,B+,34, 9.10 ,44.000,Bahar Dönemi,Roskilde Universitesi,AGH University of Science and Technology,Kingston University,Vrije Üniversitesi,Universita degli Studi di L&#039;Aquila,,,
,Ann,Smith,22000043,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.72,70.130,7.333,41.333,2.72,70.130,2.72,, 2.72 ,B+,B,34, 7.33 ,41.333,Güz Dönemi,ESIEE Paris,Vrije Üniversitesi,École Polytechnique Fédérale (EPF),Technical University of Berlin,Kingston University,,,
,George,Johnson,22000044,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.56,66.400,2.000,36.000,2.56,66.400,2.56,,2.56,B,B+,34, 2.00 ,36.000,1 Akademik Yıl,Vrije Üniversitesi,École Polytechnique Fédérale (EPF),AGH University of Science and Technology,Kingston University,Saarland Üniversitesi,,,
,Sam,Williams,22000045,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.80,72.000,10.000,36.000,2.81,72.230,2.8,2, 2.80 ,B,B-,26, 9.10 ,36.000,Bahar Dönemi,École Polytechnique Fédérale (EPF),Vrije Üniversitesi,Universita degli Studi di L&#039;Aquila,Roskilde Universitesi,,,,
,George,Garcia,22000046,Mühendislik Fakültesi,Bilgisayar Mühendisliği,Lisans,2.58,66.860,2.666,23.666,2.61,67.560,2.58,4, 2.58 ,B,C+,21, 2.67 ,23.667,Güz Dönemi,Technical University of Berlin,Saarland Üniversitesi,Vrije Üniversitesi,TU Universitaet Dortmund,AGH University of Science and Technology,,,
